# Based on https://www.iana.org/assignments/protocol-numbers/protocol-numbers-1.csv and IPPROTO_ constants defined by Go
# Last updated on 2017-07-06
0,hopopt
0,hopopts
1,icmp
2,igmp
3,ggp
4,ipv4
5,st
6,tcp
7,cbt
8,egp
9,igp
9,pigp
10,bbn-rcc-mon
10,rccmon
11,nvp-ii
12,pup
13,argus
14,emcon
15,xnet
16,chaos
17,udp
18,mux
19,dcn-meas
19,meas
20,hmp
21,prm
22,idp
22,xns-idp
23,trunk-1
24,trunk-2
25,leaf-1
26,leaf-2
27,rdp
28,irtp
29,iso-tp4
29,tp
30,blt
30,netblt
31,mfe-nsp
31,nsp
32,inp
32,merit-inp
33,dccp
33,sep
34,3pc
35,idpr
36,xtp
37,ddp
38,cmtp
38,idpr-cmtp
39,tp++
39,tpxx
40,il
41,ipv6
42,sdrp
43,ipv6-route
43,routing
44,fragment
44,ipv6-frag
45,idrp
46,rsvp
47,gre
48,dsr
48,mhrp
49,bha
49,bna
50,esp
51,ah
52,i-nlsp
52,maxid
53,swipe
54,narp
54,nhrp
55,mobile
56,tlsp
57,skip
58,icmpv6
58,ipv6-icmp
59,ipv6-nonxt
59,none
60,dstopts
60,ipv6-opts
61,ahip
61,any-host
62,cftp
63,any-local-net
63,hello
64,sat-expak
65,kryptolan
66,rvd
67,ippc
68,adfs
68,any-distributed-fs
69,sat-mon
70,visa
71,ipcv
72,cpnx
73,cphb
74,wsn
75,pvp
76,br-sat-mon
77,nd
77,sun-nd
78,wb-mon
79,wb-expak
80,eon
80,iso-ip
81,vmtp
82,secure-vmtp
82,svmtp
83,vines
84,iptm
84,ttp
85,nsfnet-igp
86,dgp
87,tcf
88,eigrp
88,igrp
89,ospfigp
90,sprite-rpc
90,srpc
91,larp
92,mtp
93,ax.25
94,ipeip
94,ipip
95,micp
96,scc-sp
97,etherip
98,encap
99,apes
100,gmtp
101,ifmp
102,pnni
103,pim
104,aris
105,scps
106,qnx
107,a/n
108,ipcomp
109,snp
110,compaq-peer
111,ipx-in-ip
112,vrrp
113,pgm
114,any-zero-hop
114,any-0-hop
115,l2tp
116,ddx
117,iatp
118,stp
119,srp
120,uti
121,smp
122,sm
123,ptp
124,isis over ipv4
125,fire
126,crtp
127,crudp
128,sscopmce
129,iplt
130,sps
131,pipe
132,sctp
133,fc
134,rsvp-e2e-ignore
135,mobility header
136,udplite
137,mpls-in-ip
138,manet
139,hip
140,shim6
141,wesp
142,rohc
253,experimental1
254,divert
254,experimental2
255,raw
255,reserved
